Python 3.12.12
Using device: cuda
Classes: ['cat', 'dog']
Epoch 1/50 | Loss: 0.6383 | Val Acc: 63.82%
Epoch 2/50 | Loss: 0.5178 | Val Acc: 77.94%
Epoch 3/50 | Loss: 0.4126 | Val Acc: 82.96%
Epoch 4/50 | Loss: 0.3346 | Val Acc: 85.80%
Epoch 5/50 | Loss: 0.2782 | Val Acc: 88.72%
Epoch 6/50 | Loss: 0.2324 | Val Acc: 90.44%
Epoch 7/50 | Loss: 0.2077 | Val Acc: 91.42%
Epoch 8/50 | Loss: 0.1788 | Val Acc: 90.56%
Epoch 9/50 | Loss: 0.1675 | Val Acc: 93.60%
Epoch 10/50 | Loss: 0.1613 | Val Acc: 91.80%
Epoch 11/50 | Loss: 0.1413 | Val Acc: 93.86%
Epoch 12/50 | Loss: 0.1389 | Val Acc: 94.60%
Epoch 13/50 | Loss: 0.1279 | Val Acc: 94.42%
Epoch 14/50 | Loss: 0.1162 | Val Acc: 93.90%
Epoch 15/50 | Loss: 0.1145 | Val Acc: 95.34%
Epoch 16/50 | Loss: 0.1056 | Val Acc: 95.90%
Epoch 17/50 | Loss: 0.1038 | Val Acc: 94.44%
Epoch 18/50 | Loss: 0.1001 | Val Acc: 95.30%
Epoch 19/50 | Loss: 0.0903 | Val Acc: 94.66%
Epoch 20/50 | Loss: 0.0887 | Val Acc: 95.04%
Epoch 21/50 | Loss: 0.0833 | Val Acc: 94.84%
Epoch 22/50 | Loss: 0.0796 | Val Acc: 95.32%
Epoch 23/50 | Loss: 0.0753 | Val Acc: 95.26%
Epoch 24/50 | Loss: 0.0775 | Val Acc: 95.22%
Epoch 25/50 | Loss: 0.0715 | Val Acc: 95.94%
Epoch 26/50 | Loss: 0.0674 | Val Acc: 95.58%
Epoch 27/50 | Loss: 0.0644 | Val Acc: 95.34%
Epoch 28/50 | Loss: 0.0606 | Val Acc: 95.66%
Epoch 29/50 | Loss: 0.0563 | Val Acc: 95.92%
Epoch 30/50 | Loss: 0.0604 | Val Acc: 95.96%
Epoch 31/50 | Loss: 0.0568 | Val Acc: 95.74%
Epoch 32/50 | Loss: 0.0515 | Val Acc: 96.28%
Epoch 33/50 | Loss: 0.0492 | Val Acc: 96.40%
Epoch 34/50 | Loss: 0.0449 | Val Acc: 95.86%
Epoch 35/50 | Loss: 0.0469 | Val Acc: 96.22%
Epoch 36/50 | Loss: 0.0453 | Val Acc: 95.20%
Epoch 37/50 | Loss: 0.0439 | Val Acc: 95.92%
Epoch 38/50 | Loss: 0.0465 | Val Acc: 96.22%
Epoch 39/50 | Loss: 0.0385 | Val Acc: 96.04%
Epoch 40/50 | Loss: 0.0397 | Val Acc: 96.00%
Epoch 41/50 | Loss: 0.0423 | Val Acc: 95.40%
Epoch 42/50 | Loss: 0.0377 | Val Acc: 95.76%
Epoch 43/50 | Loss: 0.0341 | Val Acc: 96.10%
Epoch 44/50 | Loss: 0.0349 | Val Acc: 95.66%
Epoch 45/50 | Loss: 0.0311 | Val Acc: 96.22%
Epoch 46/50 | Loss: 0.0296 | Val Acc: 95.84%
Epoch 47/50 | Loss: 0.0351 | Val Acc: 96.18%
Epoch 48/50 | Loss: 0.0297 | Val Acc: 96.50%
